sessie;lot id;gr;
1;53;36,4;
1;10;38,7;
1;54;55,4;
1;56;56,4;
1;58;33,3;
1;55;85,8;
1;77;34,9;
1;78;44,9;
1;79;47;
1;81;43,2;
1;82;60;
1;80;45,6;
1;57;64,3;
1;59;34,2;
1;66;53,5;
1;68;36,8;
1;70;26,9;
1;69;59,9;
1;65;46,9;
1;67;48,6;
1;26;52,1;
1;20;41;
1;27;75,9;
1;28;44,4;
1;29;49,1;
1;19;52;
1;21;51,1;
1;95;34,2;
1;16;40,1;
1;93;66;
1;1;34,8;
1;7;26,2;
1;11;43,1;
1;25;33,8;
1;2;33,8;
1;91;53,9;
1;90;51,4;
1;92;52,8;
1;94;40,1;
1;39;58,7;
1;14;50;
1;6;33,4;
1;40;54,8;
1;41;45,7;
1;37;57,3;
1;36;45,7;
1;38;37,3;
1;34;42,5;
1;32;61,1;
1;17;38,4;
1;23;46,4;
1;30;46,9;
1;18;54,5;
1;12;39,3;
1;24;60,6;
1;5;38,4;
1;3;33,6;
1;9;36,2;
1;8;45,9;
1;4;84,6;
1;13;47,9;
1;83;39,4;
1;35;58,2;
1;44;51,4;
1;60;39,9;krom
1;62;35,1;
1;75;49,1;
1;64;56,7;
1;71;61,2;
1;46;42;
1;48;58,3;
1;73;31,9;
1;47;55,2;
1;49;54,3;
1;52;56,7;
1;51;52,5;
1;50;43,1;
1;42;41,7;
1;43;45,9;
1;33;76,6;
1;31;53,5;
1;87;63,2;
1;85;45,6;
1;84;50,7;
1;96;52,4;
1;98;59,9;
1;45;52,5;
1;61;45,5;
1;63;61,8;
1;72;43,2;
1;74;63,6;
1;86;66,4;
1;76;41,6;
1;89;40;
1;97;51,7;
1;88;48,1;
1;99;58,9;
1;100;59,7;
1;999;4700;gezamenlijk alles op de weegschaal
